occ_code,task,penetration
13-1022.00,Buy merchandise or commodities for resale to wholesale or retail consumers.,0.0
13-1022.00,"Negotiate prices, discount terms, or transportation arrangements with suppliers.",0.0
13-1022.00,"Examine, select, order, or purchase merchandise consistent with quality, quantity, specification requirements, or other factors, such as environmental soundness.",0.0
13-1022.00,Obtain information about customer needs or preferences by conferring with sales or purchasing personnel.,0.0
13-1021.00,Calculate applicable government grain quotas.,0.0
13-1021.00,"Estimate land production possibilities, surveying property and studying factors such as crop rotation history, soil fertility, or irrigation facilities.",0.0
13-1021.00,Advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.0
13-1011.00,Schedule promotional or performance engagements for clients.,0.0
13-1011.00,"Collect fees, commissions, or other payments, according to contract terms.",0.0
13-1011.00,"Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.",0.0
13-1021.00,"Sell supplies, such as seed, feed, fertilizers, or insecticides, arranging for loans or financing as necessary.",0.0
13-1021.00,Arrange for processing or resale of purchased products.,0.0
11-9199.02,Identify compliance issues that require follow-up or investigation.,0.0
11-9199.01,Participate in the development or implementation of clinical trial protocols.,0.0
11-9199.02,"Maintain documentation of compliance activities, such as complaints received or investigation outcomes.",0.0
11-9199.02,File appropriate compliance reports with regulatory agencies.,0.0
11-9161.00,"Inspect facilities and equipment, such as emergency management centers and communications equipment, to determine their operational and functional capabilities in emergency situations.",0.0
11-9161.00,"Coordinate disaster response or crisis management activities, such as ordering evacuations, opening public shelters, and implementing special needs plans and programs.",0.0
11-9161.00,"Prepare plans that outline operating procedures to be used in response to disasters or emergencies, such as hurricanes, nuclear accidents, and terrorist attacks, and in recovery from these events.",0.0
11-9161.00,"Develop and maintain liaisons with municipalities, county departments, and similar entities to facilitate plan development, response effort coordination, and exchanges of personnel and equipment.",0.0
11-9161.00,Design and administer emergency or disaster preparedness training courses that teach people how to effectively respond to major emergencies and disasters.,0.0
11-9199.04,"Evaluate and select information or other technology solutions to improve tracking and reporting of materials or products distribution, storage, or inventory.",0.0
11-9199.04,"Identify opportunities to reuse or recycle materials to minimize consumption of new materials, minimize waste, or to convert wastes to by-products.",0.0
11-9199.04,Investigate or review the carbon footprints and environmental performance records of current or potential storage and distribution service providers.,0.0
11-9199.04,"Locate or select biodegradable, non-toxic, or other environmentally friendly raw materials for manufacturing processes.",0.0
11-9199.04,"Review or update supply chain practices in accordance with new or changing environmental policies, standards, regulations, or laws.",0.0
11-3031.01,"Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties.",0.0
11-3021.00,"Manage backup, security and user help systems.",0.0
11-3031.01,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",0.0
11-3011.00,"Dispose of, or oversee the disposal of, surplus or unclaimed property.",0.0
11-3011.00,Manage leasing of facility space.,0.0
11-2022.00,Represent company at trade association meetings to promote products.,0.0
11-3011.00,"Participate in architectural and engineering planning and design, including space and installation management.",0.0
11-3011.00,"Direct or coordinate the supportive services department of a business, agency, or organization.",0.0
11-3011.00,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,0.0
11-2022.00,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",0.0
11-3051.01,Generate and maintain quality control operating budgets.,0.0
11-3051.01,Instruct staff in quality control and analytical procedures.,0.0
11-3051.01,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",0.0
11-3051.01,Participate in the development of product specifications.,0.0
11-3051.02,Supervise employees in geothermal power plants or well fields.,0.0
11-3051.02,"Oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations.",0.0
11-3051.02,Communicate geothermal plant conditions to employees.,0.0
11-3051.02,"Identify and evaluate equipment, procedural, or conditional inefficiencies involving geothermal plant systems.",0.0
11-3051.02,Perform or direct the performance of preventative maintenance on geothermal plant equipment.,0.0
11-3051.00,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",0.0
11-3051.00,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",0.0
11-3051.00,Review operations and confer with technical or administrative staff to resolve production or processing problems.,0.0
11-3051.00,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",0.0
11-3051.00,Prepare and maintain production reports or personnel records.,0.0
11-2022.00,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",0.0
11-2022.00,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,0.0
11-1021.00,Prepare staff work schedules and assign specific duties.,0.0
11-1011.03,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",0.0
11-1011.03,"Create and maintain sustainability program documents, such as schedules and budgets.",0.0
11-1011.03,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,0.0
11-1011.03,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",0.0
11-1011.03,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",0.0
11-1021.00,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",0.0
11-1021.00,Direct administrative activities directly related to making products or providing services.,0.0
11-1031.00,Analyze and understand the local and national implications of proposed legislation.,0.0
11-1031.00,"Appoint nominees to leadership posts, or approve such appointments.",0.0
11-1031.00,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,0.0
11-1031.00,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",0.0
11-1031.00,Develop expertise in subject matters related to committee assignments.,0.0
11-1011.00,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",0.0
11-1011.00,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0.0
11-2011.00,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",0.0
11-2011.01,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",0.0
11-9021.00,"Evaluate construction methods and determine cost-effectiveness of plans, using computer models.",0.0
11-9013.03,Prepare reports required by state and federal laws.,0.0
11-9021.00,"Confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems.",0.0
11-9021.00,"Plan, schedule, or coordinate construction project activities to meet deadlines.",0.0
11-9013.03,"Direct and monitor the transfer of mature fish to lakes, ponds, streams, or commercial tanks.",0.0
11-9031.00,Monitor students' progress and provide students and teachers with assistance in resolving any problems.,0.0
11-9013.03,"Determine how to allocate resources and to respond to unanticipated problems, such as insect infestation, drought, and fire.",0.0
11-9013.03,Coordinate the selection and maintenance of brood stock.,0.0
11-9013.01,"Determine plant growing conditions, such as greenhouses, hydroponics, or natural settings, and set planting and care schedules.",0.0
11-3121.00,Negotiate bargaining agreements and help interpret labor contracts.,0.0
11-3121.00,Investigate and report on industrial accidents for insurance carriers.,0.0
11-3121.00,Provide terminated employees with outplacement or relocation assistance.,0.0
11-3121.00,"Contract with vendors to provide employee services, such as food service, transportation, or relocation service.",0.0
11-3131.00,Prepare training budget for department or organization.,0.0
11-9013.01,"Manage nurseries that grow horticultural plants for sale to trade or retail customers, for display or exhibition, or for research.",0.0
11-9013.01,"Position and regulate plant irrigation systems, and program environmental and irrigation control computers.",0.0
11-9013.03,"Direct and monitor trapping and spawning of fish, egg incubation, and fry rearing, applying knowledge of management and fish culturing techniques.",0.0
11-9013.01,"Inspect facilities and equipment for signs of disrepair, and perform necessary maintenance work.",0.0
11-9013.01,"Coordinate clerical, record-keeping, inventory, requisitioning, and marketing activities.",0.0
11-9013.02,"Maintain financial, operational, production, or employment records for farms or ranches.",0.0
11-9013.02,"Direct the breeding or raising of stock, such as cattle, poultry, or honeybees, using recognized breeding practices to ensure stock improvement.",0.0
11-9013.02,"Negotiate with buyers for the sale, storage, or shipment of crops or livestock.",0.0
11-9013.02,Analyze soil to determine types or quantities of fertilizer required for maximum crop production.,0.0
11-9013.02,Analyze market conditions to determine acreage allocations.,0.0
11-9033.00,"Direct scholarship, fellowship, and loan programs, performing activities such as selecting recipients and distributing aid.",0.0
11-9033.00,"Promote the university by participating in community, state, and national events or meetings, and by developing partnerships with industry and secondary education institutions.",0.0
11-9033.00,"Appoint individuals to faculty positions, and evaluate their performance.",0.0
11-9032.00,"Determine the scope of educational program offerings, and prepare drafts of course schedules and descriptions to estimate staffing and facility requirements.",0.0
11-9032.00,Enforce discipline and attendance rules.,0.0
11-3121.00,"Allocate human resources, ensuring appropriate matches between personnel.",0.0
11-3051.06,"Monitor or inspect hydroelectric equipment, such as hydro-turbines, generators, or control systems.",0.0
11-3051.04,"Shut down and restart biomass power plants or equipment in emergency situations or for equipment maintenance, repairs, or replacements.",0.0
11-3051.04,"Test, maintain, or repair electrical power distribution machinery or equipment, using hand tools, power tools, and testing devices.",0.0
11-3051.04,Adjust equipment controls to generate specified amounts of electrical power.,0.0
11-3051.06,"Direct operations, maintenance, or repair of hydroelectric power facilities.",0.0
11-3051.06,Supervise or monitor hydroelectric facility operations to ensure that generation or mechanical equipment conform to applicable regulations or standards.,0.0
11-3051.06,"Check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.",0.0
11-3051.06,Create or enforce hydrostation voltage schedules.,0.0
11-3061.00,Represent companies in negotiating contracts and formulating policies with suppliers.,0.0
11-3051.03,"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",0.0
11-3051.03,"Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.",0.0
11-3051.03,"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",0.0
11-3051.03,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",0.0
11-3051.03,"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",0.0
11-3111.00,Investigate and report on industrial accidents for insurance carriers.,0.0
11-3111.00,"Administer, direct, and review employee benefit programs, including the integration of benefit programs following mergers and acquisitions.",0.0
11-3111.00,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.",0.0
11-3111.00,"Manage the design and development of tools to assist employees in benefits selection, and to guide managers through compensation decisions.",0.0
11-3111.00,"Prepare detailed job descriptions and classification systems and define job levels and families, in partnership with other managers.",0.0
11-3071.03,"Review global, national, or regional transportation or logistics reports for ways to improve efficiency or minimize the environmental impact of logistics activities.",0.0
11-3071.01,"Plan, organize, or manage the work of subordinate staff to ensure that the work is accomplished in a manner consistent with organizational requirements.",0.0
11-3071.01,"Prepare management recommendations, such as proposed fee and tariff increases or schedule changes.",0.0
11-3071.01,"Plan or implement energy saving changes to transportation services, such as reducing routes, optimizing capacities, employing alternate modes of transportation, or minimizing idling.",0.0
11-3071.02,Prepare and manage departmental budgets.,0.0
11-3071.02,"Supervise the activities of workers engaged in receiving, storing, testing, and shipping products or materials.",0.0
11-3071.02,"Interview, select, and train warehouse and supervisory personnel.",0.0
11-3071.02,"Plan, develop, or implement warehouse safety and security programs and activities.",0.0
11-3071.02,"Confer with department heads to coordinate warehouse activities, such as production, sales, records control, or purchasing.",0.0
11-3071.03,"Collaborate with other departments to integrate logistics with business systems or processes, such as customer sales, order management, accounting, or shipping.",0.0
11-3071.03,"Maintain metrics, reports, process documentation, customer service logs, or training or safety records.",0.0
13-2099.04,Conduct field surveillance to gather case-related information.,0.0
13-2099.04,Advise businesses or agencies on ways to improve fraud detection.,0.0
13-2099.04,Gather financial documents related to investigations.,0.0
13-2099.02,Consult financial literature to ensure use of the latest models or statistical techniques.,0.0
13-2099.02,"Document, and ensure communication of, key risks.",0.0
13-2099.03,"Advise clients on aspects of capitalization, such as amounts, sources, or timing.",0.0
15-1133.00,Specify power supply requirements and configuration.,0.0
15-1141.00,Work as part of a project team to coordinate database development and determine project scope and limitations.,0.0
15-1121.01,"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",0.0
15-1121.01,"Apply knowledge of computer science, information science, nursing, and informatics theory to nursing practice, education, administration, or research, in collaboration with other health informatics specialists.",0.0
15-1132.00,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",0.0
15-1132.00,Determine system performance standards.,0.0
13-2071.00,Interview clients by telephone or in person to gather financial information.,0.0
13-2061.00,"Review balance sheets, operating income and expense accounts, and loan documentation to confirm institution assets and liabilities.",0.0
13-2061.00,"Plan, supervise, and review work of assigned subordinates.",0.0
13-2061.00,Review audit reports of internal and external auditors to monitor adequacy of scope of reports or to discover specific weaknesses in internal routines.,0.0
13-2061.00,Train other examiners in the financial examination process.,0.0
13-2071.01,Submit applications to credit analysts for verification and recommendation.,0.0
13-2071.01,"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",0.0
13-2071.01,Establish payment priorities according to credit terms and interest rates to reduce clients' overall costs.,0.0
13-2031.00,Seek new ways to improve efficiency and increase profits.,0.0
13-2031.00,"Testify before examining and fund-granting authorities, clarifying and promoting the proposed budgets.",0.0
13-2031.00,"Match appropriations for specific programs with appropriations for broader programs, including items for emergency funds.",0.0
13-2041.00,"Generate financial ratios, using computer programs, to evaluate customers' financial status.",0.0
13-2041.00,Consult with customers to resolve complaints and verify financial and credit transactions.,0.0
13-2041.00,Prepare reports that include the degree of risk involved in extending credit or lending money.,0.0
13-2041.00,"Compare liquidity, profitability, and credit histories of establishments being evaluated with those of similar establishments in the same industries and geographic locations.",0.0
13-2053.00,Evaluate possibility of losses due to catastrophe or excessive insurance.,0.0
13-2053.00,Review company records to determine amount of insurance in force on single risk or group of closely related risks.,0.0
13-2053.00,Authorize reinsurance of policy when risk is high.,0.0
13-2082.00,"Compute taxes owed or overpaid, using adding machines or personal computers, and complete entries on forms, following tax form instructions and tax tables.",0.0
13-2081.00,Review selected tax returns to determine the nature and extent of audits to be performed on them.,0.0
13-2081.00,"Investigate claims of inability to pay taxes by researching court information for the status of liens, mortgages, or financial statements, or by locating assets through third parties.",0.0
13-2081.00,"Process individual and corporate income tax returns, and sales and excise tax returns.",0.0
13-2082.00,Interview clients to obtain additional information on taxable income and deductible expenses and allowances.,0.0
13-2072.00,Review and update credit and loan files.,0.0
13-1031.01,"Investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.",0.0
15-1199.05,Select cartographic elements needed for effective presentation of information.,0.0
15-1199.04,"Collect, compile, or integrate Geographic Information Systems (GIS) data, such as remote sensing or cartographic data for inclusion in map manuscripts.",0.0
15-1199.05,"Design or prepare graphic representations of Geographic Information Systems (GIS) data, using GIS hardware or software applications.",0.0
15-2011.00,"Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.",0.0
15-2011.00,Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.,0.0
15-2011.00,"Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.",0.0
15-2011.00,"Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business.",0.0
15-2021.00,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,0.0
15-1199.11,"Document all aspects of formal game design, using mock-up screenshots, sample menu layouts, gameplay flowcharts, and other graphical devices.",0.0
15-1199.11,Balance and adjust gameplay experiences to ensure the critical and commercial success of the product.,0.0
15-1199.03,"Evaluate testing routines or procedures for adequacy, sufficiency, and effectiveness.",0.0
13-2031.00,Interpret budget directives and establish policies for carrying out directives.,0.0
13-1075.00,Negotiate collective bargaining agreements.,0.0
13-1074.00,Pay wages of contracted farm laborers.,0.0
13-1074.00,"Provide food, drinking water, and field sanitation facilities to contracted workers.",0.0
13-1074.00,Recruit and hire agricultural workers.,0.0
13-1074.00,"Employ foremen to deal directly with workers when recruiting, hiring, instructing, assigning tasks, and enforcing work rules.",0.0
13-1074.00,Supervise the work of contracted employees.,0.0
13-1075.00,Monitor company or workforce adherence to labor agreements.,0.0
13-1075.00,Present the position of the company or of labor during arbitration or other labor negotiations.,0.0
13-1075.00,"Write letters related to labor relations activities, such as letters to amend collective bargaining agreements, letters of dispute or conciliation, or letters to seek clarification of contract terms.",0.0
13-1075.00,Draft contract proposals or counter-proposals for collective bargaining or other labor negotiations.,0.0
13-1051.00,"Prepare estimates used by management for purposes such as planning, organizing, and scheduling work.",0.0
13-1041.07,Develop or conduct employee regulatory training.,0.0
13-1041.07,Review adverse drug reactions and file all related reports in accordance with regulatory agency guidelines.,0.0
13-1051.00,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",0.0
13-1051.00,Prepare estimates for use in selecting vendors or subcontractors.,0.0
13-1051.00,Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.,0.0
13-1051.00,"Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.",0.0
13-1081.01,"Interview key staff or tour facilities to identify efficiency-improvement, cost-reduction, or service-delivery opportunities.",0.0
13-1081.02,"Provide ongoing analyses in areas such as transportation costs, parts procurement, back orders, or delivery processes.",0.0
13-1081.02,Prepare reports on logistics performance measures.,0.0
13-1081.00,Perform system lifecycle cost analysis and develop component studies.,0.0
13-1081.00,"Collaborate with other departments as necessary to meet customer requirements, to take advantage of sales opportunities or, in the case of shortages, to minimize negative impacts on a business.",0.0
13-1081.00,"Maintain and develop positive business relationships with a customer's key personnel involved in, or directly relevant to, a logistics activity.",0.0
13-1041.01,"Inform individuals and groups of pollution control regulations and inspection findings, and explain how problems can be corrected.",0.0
13-1041.01,"Examine permits, licenses, applications, and records to ensure compliance with licensing requirements.",0.0
13-1041.01,"Prepare written, oral, tabular, and graphic reports summarizing requirements and regulations, including enforcement and chain of custody documentation.",0.0
13-1041.01,"Prepare, organize, and maintain inspection records.",0.0
13-1041.01,"Verify that hazardous chemicals are handled, stored, and disposed of in accordance with regulations.",0.0
13-1032.00,Prepare insurance forms to indicate repair cost estimates and recommendations.,0.0
13-1041.02,Warn violators of infractions or penalties.,0.0
13-1041.02,"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.0
13-1032.00,Arrange to have damage appraised by another appraiser to resolve disagreement with shop on repair cost.,0.0
13-1032.00,Determine salvage value on total-loss vehicle.,0.0
13-1031.01,"Report overpayments, underpayments, and other irregularities.",0.0
13-1031.01,Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,0.0
13-1031.01,"Resolve complex, severe exposure claims, using high service oriented file handling.",0.0
13-1032.00,Evaluate practicality of repair as opposed to payment of market value of vehicle before accident.,0.0
13-1031.02,Investigate and assess damage to property and create or review property damage estimates.,0.0
13-1031.02,"Interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",0.0
13-1031.02,"Review police reports, medical treatment records, medical bills, or physical property damage to determine the extent of liability.",0.0
13-1031.02,Analyze information gathered by investigation and report findings and recommendations.,0.0
13-1032.00,"Estimate parts and labor to repair damage, using standard automotive labor and parts cost manuals and knowledge of automotive repair.",0.0
13-1041.06,"Testify at inquests, hearings, and court trials.",0.0
13-1041.06,Observe and record the positions and conditions of bodies and related evidence.,0.0
13-1041.06,"Observe, record, and preserve any objects or personal property related to deaths, including objects such as medication containers and suicide notes.",0.0
13-1041.06,Interview persons present at death scenes to obtain information useful in determining the manner of death.,0.0
13-1041.03,Act as liaisons between minority placement agencies and employers or between job search committees and other equal opportunity administrators.,0.0
13-1041.03,Investigate employment practices or alleged violations of laws to document and correct discriminatory factors.,0.0
13-1041.03,Prepare reports related to investigations of equal opportunity complaints.,0.0
13-1041.04,"Locate and interview plaintiffs, witnesses, or representatives of business or government to gather facts relevant to inspections or alleged violations.",0.0
13-1041.04,Monitor investigations of suspected offenders to ensure that they are conducted in accordance with constitutional requirements.,0.0
13-1041.04,"Collect, identify, evaluate, or preserve case evidence.",0.0
13-1041.04,Inspect manufactured or processed products to ensure compliance with contract specifications or legal requirements.,0.0
13-1199.05,Create or maintain plans or other documents related to sustainability projects.,0.0
13-1199.04,"Review existing disaster recovery, crisis management, or business continuity plans.",0.0
13-1199.04,"Establish, maintain, or test call trees to ensure appropriate communication during disaster.",0.0
13-1199.05,"Develop sustainability project goals, objectives, initiatives, or strategies in collaboration with other sustainability professionals.",0.0
13-1199.05,"Assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance.",0.0
13-1199.05,Provide technical or administrative support for sustainability programs or issues.,0.0
13-1199.05,"Monitor or track sustainability indicators, such as energy usage, natural resource usage, waste generation, and recycling.",0.0
13-1199.03,Calculate duty and tariff payments owed on shipments.,0.0
13-1199.02,Develop conceptual designs of security systems.,0.0
13-2021.02,Collect and analyze relevant data to identify real estate market trends.,0.0
13-2021.01,"Inspect properties, considering factors such as market value, location, and building or replacement costs to determine appraisal value.",0.0
13-2021.01,Explain assessed values to property owners and defend appealed assessments at public hearings.,0.0
13-2021.01,"Prepare and maintain current data on each parcel assessed, including maps of boundaries, inventories of land and structures, property characteristics, and any applicable exemptions.",0.0
13-2021.02,"Compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential.",0.0
13-2011.02,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.",0.0
13-2011.02,"Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.",0.0
13-2011.01,Report to management regarding the finances of establishment.,0.0
13-1121.00,Develop event topics and choose featured speakers.,0.0
13-1121.00,Inspect event facilities to ensure that they conform to customer requirements.,0.0
13-1121.00,"Coordinate services for events, such as accommodation and transportation for participants, facilities, catering, signage, displays, special needs requirements, printing and event security.",0.0
13-1111.00,Recommend purchase of storage equipment and design area layout to locate equipment in space available.,0.0
13-1131.00,Identify and build relationships with potential donors.,0.0
13-1131.00,Write and send letters of thanks to donors.,0.0
13-1131.00,Secure commitments of participation or donation from individuals or corporate donors.,0.0
13-1111.00,"Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.",0.0
13-1111.00,"Design, evaluate, recommend, and approve changes of forms and reports.",0.0
13-1199.01,"Inspect or evaluate building envelopes, mechanical systems, electrical systems, or process systems to determine the energy consumption of each system.",0.0
13-1151.00,"Schedule classes based on availability of classrooms, equipment, or instructors.",0.0
13-1199.01,Prepare audit reports containing energy analysis results or recommendations for energy cost savings.,0.0
13-1199.01,Collect and analyze field data related to energy usage.,0.0
13-1199.01,Perform tests such as blower-door tests to locate air leaks.,0.0
13-1199.01,Calculate potential for energy savings.,0.0
13-1141.00,"Ensure company compliance with federal and state laws, including reporting requirements.",0.0
13-1141.00,"Evaluate job positions, determining classification, exempt or non-exempt status, and salary.",0.0
33-9011.00,"Train police officers in dog handling and training techniques for tracking, crowd control, and narcotics and bomb detection.",0.0
29-1171.00,Maintain complete and detailed records of patients' health care plans and prognoses.,0.0
29-1161.00,"Provide primary health care, including pregnancy and childbirth, to women.",0.0
29-1161.00,Consult with or refer patients to appropriate specialists when conditions exceed the scope of practice or expertise.,0.0
29-1161.00,"Perform physical examinations by taking vital signs, checking neurological reflexes, examining breasts, or performing pelvic examinations.",0.0
29-1171.00,"Recommend diagnostic or therapeutic interventions with attention to safety, cost, invasiveness, simplicity, acceptability, adherence, and efficacy.",0.0
29-1171.00,"Prescribe medications based on efficacy, safety, and cost as legally authorized.",0.0
29-1181.00,"Fit, dispense, and repair assistive devices, such as hearing aids.",0.0
29-1151.00,Administer post-anesthesia medications or fluids to support patients' cardiovascular systems.,0.0
29-1141.04,Chair nursing departments or committees.,0.0
29-1141.04,"Develop nursing service philosophies, goals, policies, priorities, or procedures.",0.0
29-1151.00,"Select, prepare, or use equipment, monitors, supplies, or drugs for the administration of anesthetics.",0.0
29-1151.00,"Select, order, or administer anesthetics, adjuvant drugs, accessory drugs, fluids or blood products as necessary.",0.0
29-1151.00,"Monitor patients' responses, including skin color, pupil dilation, pulse, heart rate, blood pressure, respiration, ventilation, or urine output, using invasive and noninvasive techniques.",0.0
29-1151.00,"Perform pre-anesthetic screenings, including physical evaluations and patient interviews, and document results.",0.0
29-1181.00,"Administer hearing tests and examine patients to collect information on type and degree of impairment, using specialized instruments and electronic equipment.",0.0
29-1181.00,"Maintain patient records at all stages, including initial and subsequent evaluation and treatment activities.",0.0
29-1199.05,"Perform diagnostic tests or measurements, such as motor testing, visual acuity testing, lensometry, retinoscopy, and color vision testing.",0.0
29-1199.04,Prescribe synthetic drugs under the supervision of medical doctors or within the allowances of regulatory bodies.,0.0
29-1199.04,"Order diagnostic imaging procedures such as radiographs (x-rays), ultrasounds, mammograms, and bone densitometry tests, or refer patients to other health professionals for these procedures.",0.0
29-1199.04,Obtain medical records from previous physicians or other health care providers for the purpose of patient evaluation.,0.0
29-1199.04,"Perform mobilizations and high-velocity adjustments to joints or soft tissues, using principles of massage, stretching, or resistance.",0.0
29-1199.04,Perform venipuncture or skin pricking to collect blood samples.,0.0
29-1199.05,"Examine patients with problems related to ocular motility, binocular vision, amblyopia, or strabismus.",0.0
29-1199.05,"Evaluate, diagnose, or treat disorders of the visual system with an emphasis on binocular vision or abnormal eye movements.",0.0
29-2011.00,"Conduct chemical analysis of body fluids, including blood, urine, or spinal fluid, to determine presence of normal or abnormal components.",0.0
29-2011.00,"Operate, calibrate, or maintain equipment used in quantitative or qualitative analysis, such as spectrophotometers, calorimeters, flame photometers, or computer-controlled analyzers.",0.0
29-1181.00,Evaluate hearing and balance disorders to determine diagnoses and courses of treatment.,0.0
29-1181.00,"Perform administrative tasks, such as managing office functions and finances.",0.0
29-1199.01,Insert needles to provide acupuncture treatment.,0.0
29-1199.01,Maintain detailed and complete records of health care plans and prognoses.,0.0
29-1199.01,Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.,0.0
29-1199.01,Develop individual treatment plans and strategies.,0.0
29-1199.01,"Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health.",0.0
29-1141.00,Provide or arrange for training or instruction of auxiliary personnel or students.,0.0
29-1141.00,Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.,0.0
29-1141.00,Inform physician of patient's condition during anesthesia.,0.0
29-1141.00,"Administer local, inhalation, intravenous, or other anesthetics.",0.0
29-1141.01,"Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly.",0.0
29-1141.01,Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.,0.0
29-1141.01,"Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.",0.0
29-1141.01,"Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships.",0.0
29-1131.00,"Provide care to a wide range of animals or specialize in a particular species, such as horses or exotic birds.",0.0
29-1131.00,Counsel clients about the deaths of their pets or about euthanasia decisions for their pets.,0.0
29-1131.00,"Operate diagnostic equipment, such as radiographic or ultrasound equipment, and interpret the resulting images.",0.0
29-1131.00,Educate the public about diseases that can be spread from animals to humans.,0.0
29-1141.03,"Plan, provide, or evaluate educational programs for nursing staff, interdisciplinary health care team members, or community members.",0.0
29-1141.03,Collect specimens for laboratory tests.,0.0
29-1141.03,"Document patients' treatment plans, interventions, outcomes, or plan revisions.",0.0
29-1141.02,"Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders.",0.0
29-1141.02,Monitor patients' medication usage and results.,0.0
29-1141.02,"Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes.",0.0
29-1141.02,Diagnose psychiatric disorders and mental health conditions.,0.0
29-2055.00,"Clean and restock operating room, gathering and placing equipment and supplies and arranging instruments according to instructions, such as a preference card.",0.0
